sdg,indicator,unit,location,year,value,is_projected,ci_lower,ci_upper
SDG1 - No Poverty,Beneficiaries - Indira Gandhi National Widow Pension,Number,Wardha,2025,1210.861,1,1196.78,1224.942
SDG1 - No Poverty,Beneficiaries - Indira Gandhi National Widow Pension,Number,Wardha,2029,1464.528,1,1441.099,1487.957
SDG1 - No Poverty,Beneficiaries - Indira Gandhi National Widow Pension,Number,Wardha,2037,1971.861,1,1928.835,2014.888
SDG1 - No Poverty,Beneficiaries - Indira Gandhi National Widow Pension,Number,Wardha,2047,2606.028,1,2538.158,2673.897
SDG1 - No Poverty,Beneficiaries - Indira Gandhi National Widow Pension,Number,Wardha,2060,3430.444,1,3330.145,3530.743
SDG1 - No Poverty,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Number,Wardha,2016,18835,0,,
SDG1 - No Poverty,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Number,Wardha,2017,20732,0,,
SDG1 - No Poverty,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Number,Wardha,2018,22177,0,,
SDG1 - No Poverty,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Number,Wardha,2019,22703,0,,
SDG1 - No Poverty,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Number,Wardha,2020,25603,0,,
SDG1 - No Poverty,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Number,Wardha,2021,28759,0,,
SDG1 - No Poverty,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Number,Wardha,2022,26419,0,,
SDG1 - No Poverty,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Number,Wardha,2023,28332,0,,
SDG1 - No Poverty,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Number,Wardha,2024,33933,0,,
SDG1 - No Poverty,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Number,Wardha,2025,33421.333,1,33075.788,33766.879
SDG1 - No Poverty,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Number,Wardha,2029,39936.8,1,39361.861,40511.739
SDG1 - No Poverty,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Number,Wardha,2037,52967.733,1,51911.875,54023.592
SDG1 - No Poverty,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Number,Wardha,2047,69256.4,1,67590.899,70921.901
SDG1 - No Poverty,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Number,Wardha,2060,90431.667,1,87970.351,92892.983
SDG1 - No Poverty,Beneficiaries - Shravanbal Seva State Pension,Number,Wardha,2016,49958,0,,
SDG1 - No Poverty,Beneficiaries - Shravanbal Seva State Pension,Number,Wardha,2017,55357,0,,
SDG1 - No Poverty,Beneficiaries - Shravanbal Seva State Pension,Number,Wardha,2018,57830,0,,
SDG1 - No Poverty,Beneficiaries - Shravanbal Seva State Pension,Number,Wardha,2019,59288,0,,
SDG1 - No Poverty,Beneficiaries - Shravanbal Seva State Pension,Number,Wardha,2020,64646,0,,
SDG1 - No Poverty,Beneficiaries - Shravanbal Seva State Pension,Number,Wardha,2021,54233,0,,
SDG1 - No Poverty,Beneficiaries - Shravanbal Seva State Pension,Number,Wardha,2022,66002,0,,
SDG1 - No Poverty,Beneficiaries - Shravanbal Seva State Pension,Number,Wardha,2023,67452,0,,
SDG1 - No Poverty,Beneficiaries - Shravanbal Seva State Pension,Number,Wardha,2024,44163,0,,
SDG1 - No Poverty,Beneficiaries - Shravanbal Seva State Pension,Number,Wardha,2025,59691.611,1,57882.946,61500.277
SDG1 - No Poverty,Beneficiaries - Shravanbal Seva State Pension,Number,Wardha,2029,61317.878,1,58308.516,64327.239
SDG1 - No Poverty,Beneficiaries - Shravanbal Seva State Pension,Number,Wardha,2037,64570.411,1,59043.808,70097.014
SDG1 - No Poverty,Beneficiaries - Shravanbal Seva State Pension,Number,Wardha,2047,68636.078,1,59918.464,77353.692
SDG1 - No Poverty,Beneficiaries - Shravanbal Seva State Pension,Number,Wardha,2060,73921.444,1,61038.356,86804.533
SDG1 - No Poverty,Fair Price Shops,Number,Arvi,2024,128,0,,
SDG1 - No Poverty,Fair Price Shops,Number,Wardha,2024,152,0,,
SDG1 - No Poverty,ICDS beneficiaries - Children (6-71 months),%,Wardha,2016,95.24,0,,
SDG1 - No Poverty,ICDS beneficiaries - Children (6-71 months),%,Wardha,2017,95.24,0,,
SDG1 - No Poverty,ICDS beneficiaries - Children (6-71 months),%,Wardha,2018,95.24,0,,
SDG1 - No Poverty,ICDS beneficiaries - Children (6-71 months),%,Wardha,2019,95.24,0,,
SDG1 - No Poverty,ICDS beneficiaries - Children (6-71 months),%,Wardha,2020,95.24,0,,
SDG1 - No Poverty,ICDS beneficiaries - Children (6-71 months),%,Wardha,2021,95.24,0,,
SDG1 - No Poverty,ICDS beneficiaries - Children (6-71 months),%,Wardha,2022,95.24,0,,
SDG1 - No Poverty,ICDS beneficiaries - Children (6-71 months),%,Wardha,2023,95.24,0,,
SDG1 - No Poverty,ICDS beneficiaries - Children (6-71 months),%,Wardha,2024,95.24,0,,
SDG1 - No Poverty,ICDS beneficiaries - Children (6-71 months),%,Wardha,2025,97.09,0,,
SDG1 - No Poverty,ICDS beneficiaries - Children (6-71 months),%,Wardha,2029,96.283,1,96.15,96.415
SDG1 - No Poverty,ICDS beneficiaries - Children (6-71 months),%,Wardha,2037,97.09,1,96.842,97.338
SDG1 - No Poverty,ICDS beneficiaries - Children (6-71 months),%,Wardha,2047,98.099,1,97.705,98.493
SDG1 - No Poverty,ICDS beneficiaries - Children (6-71 months),%,Wardha,2060,99.411,1,98.825,99.997
SDG1 - No Poverty,ICDS beneficiaries - Lactating Mothers,%,Wardha,2016,97.08,0,,
SDG1 - No Poverty,ICDS beneficiaries - Lactating Mothers,%,Wardha,2017,97.09,0,,
SDG1 - No Poverty,ICDS beneficiaries - Lactating Mothers,%,Wardha,2018,97.1,0,,
SDG1 - No Poverty,ICDS beneficiaries - Lactating Mothers,%,Wardha,2019,97.08,0,,
SDG1 - No Poverty,ICDS beneficiaries - Lactating Mothers,%,Wardha,2020,97.09,0,,
SDG1 - No Poverty,ICDS beneficiaries - Lactating Mothers,%,Wardha,2021,97.1,0,,
SDG1 - No Poverty,ICDS beneficiaries - Lactating Mothers,%,Wardha,2022,97.1,0,,
SDG1 - No Poverty,ICDS beneficiaries - Lactating Mothers,%,Wardha,2023,97.08,0,,
SDG1 - No Poverty,ICDS beneficiaries - Lactating Mothers,%,Wardha,2024,97.09,0,,
SDG1 - No Poverty,ICDS beneficiaries - Lactating Mothers,%,Wardha,2025,96.75,0,,
SDG1 - No Poverty,ICDS beneficiaries - Lactating Mothers,%,Wardha,2029,96.901,1,96.877,96.926
SDG1 - No Poverty,ICDS beneficiaries - Lactating Mothers,%,Wardha,2037,96.756,1,96.71,96.802
SDG1 - No Poverty,ICDS beneficiaries - Lactating Mothers,%,Wardha,2047,96.574,1,96.501,96.647
SDG1 - No Poverty,ICDS beneficiaries - Lactating Mothers,%,Wardha,2060,96.338,1,96.229,96.447
SDG1 - No Poverty,ICDS beneficiaries - Pregnant Women,%,Wardha,2016,97.09,0,,
SDG1 - No Poverty,ICDS beneficiaries - Pregnant Women,%,Wardha,2017,97.09,0,,
SDG1 - No Poverty,ICDS beneficiaries - Pregnant Women,%,Wardha,2018,97.08,0,,
SDG1 - No Poverty,ICDS beneficiaries - Pregnant Women,%,Wardha,2019,97.09,0,,
SDG1 - No Poverty,ICDS beneficiaries - Pregnant Women,%,Wardha,2020,97.08,0,,
SDG1 - No Poverty,ICDS beneficiaries - Pregnant Women,%,Wardha,2021,97.08,0,,
SDG1 - No Poverty,ICDS beneficiaries - Pregnant Women,%,Wardha,2022,97.08,0,,
SDG1 - No Poverty,ICDS beneficiaries - Pregnant Women,%,Wardha,2023,97.09,0,,
SDG1 - No Poverty,ICDS beneficiaries - Pregnant Women,%,Wardha,2024,97.08,0,,
SDG1 - No Poverty,ICDS beneficiaries - Pregnant Women,%,Wardha,2025,91.36,0,,
SDG1 - No Poverty,ICDS beneficiaries - Pregnant Women,%,Wardha,2029,93.853,1,93.442,94.263
SDG1 - No Poverty,ICDS beneficiaries - Pregnant Women,%,Wardha,2037,91.35,1,90.584,92.116
SDG1 - No Poverty,ICDS beneficiaries - Pregnant Women,%,Wardha,2047,88.222,1,87.002,89.441
SDG1 - No Poverty,ICDS beneficiaries - Pregnant Women,%,Wardha,2060,84.154,1,82.343,85.966
SDG1 - No Poverty,Indira Gandhi National Old Age Pension Beneficiaries,Number,Arvi,2024,3075,0,,
SDG1 - No Poverty,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Per 1000 population,Wardha,2016,1269.98,0,,
SDG1 - No Poverty,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Per 1000 population,Wardha,2017,1365.55,0,,
SDG1 - No Poverty,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Per 1000 population,Wardha,2018,1449.29,0,,
SDG1 - No Poverty,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Per 1000 population,Wardha,2019,1743.06,0,,
SDG1 - No Poverty,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Per 1000 population,Wardha,2020,2088.75,0,,
SDG1 - No Poverty,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Per 1000 population,Wardha,2021,1668.48,0,,
SDG1 - No Poverty,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Per 1000 population,Wardha,2022,1929.37,0,,
SDG1 - No Poverty,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Per 1000 population,Wardha,2023,2719.95,0,,
SDG1 - No Poverty,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Per 1000 population,Wardha,2024,2958.79,0,,
SDG1 - No Poverty,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Per 1000 population,Wardha,2025,2885.693,1,2825.846,2945.539
SDG1 - No Poverty,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Per 1000 population,Wardha,2029,3665.961,1,3566.385,3765.537
SDG1 - No Poverty,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Per 1000 population,Wardha,2037,5226.497,1,5043.628,5409.365
SDG1 - No Poverty,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Per 1000 population,Wardha,2047,7177.167,1,6888.712,7465.622
SDG1 - No Poverty,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Per 1000 population,Wardha,2060,9713.038,1,9286.752,10139.323
SDG1 - No Poverty,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Number,Wardha,2016,10,0,,
SDG1 - No Poverty,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Number,Wardha,2017,10,0,,
SDG1 - No Poverty,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Number,Wardha,2018,3,0,,
SDG1 - No Poverty,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Number,Wardha,2019,11,0,,
SDG1 - No Poverty,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Number,Wardha,2020,11,0,,
SDG1 - No Poverty,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Number,Wardha,2021,10,0,,
SDG1 - No Poverty,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Number,Wardha,2022,22,0,,
SDG1 - No Poverty,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Number,Wardha,2023,7,0,,
SDG1 - No Poverty,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Number,Wardha,2024,7,0,,
SDG1 - No Poverty,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Number,Wardha,2025,11.444,1,10.234,12.655
SDG1 - No Poverty,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Number,Wardha,2029,12.511,1,10.497,14.526
SDG1 - No Poverty,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Number,Wardha,2037,14.644,1,10.945,18.344
SDG1 - No Poverty,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Number,Wardha,2047,17.311,1,11.476,23.147
SDG1 - No Poverty,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Number,Wardha,2060,20.778,1,12.154,29.402
SDG1 - No Poverty,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,%,Wardha,2016,85.14,0,,
SDG1 - No Poverty,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,%,Wardha,2017,86.97,0,,
SDG1 - No Poverty,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,%,Wardha,2018,88.76,0,,
SDG1 - No Poverty,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,%,Wardha,2019,88.3,0,,
SDG1 - No Poverty,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,%,Wardha,2020,90.15,0,,
SDG1 - No Poverty,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,%,Wardha,2021,91.82,0,,
SDG1 - No Poverty,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,%,Wardha,2022,91.96,0,,
SDG1 - No Poverty,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,%,Wardha,2023,92.17,0,,
SDG1 - No Poverty,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,%,Wardha,2024,89.21,0,,
SDG1 - No Poverty,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,%,Wardha,2025,92.738,1,81.601,100
SDG1 - No Poverty,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,%,Wardha,2029,94.612,1,85.538,100
SDG1 - No Poverty,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,%,Wardha,2037,97.076,1,91.267,100
SDG1 - No Poverty,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,%,Wardha,2047,98.66,1,95.489,100
SDG1 - No Poverty,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,%,Wardha,2060,99.52,1,98.147,100
SDG1 - No Poverty,Proportion of Self Help Groups (SHGs) under bank linkage programme,%,Wardha,2016,60.57,0,,
SDG1 - No Poverty,Proportion of Self Help Groups (SHGs) under bank linkage programme,%,Wardha,2017,56.57,0,,
SDG1 - No Poverty,Proportion of Self Help Groups (SHGs) under bank linkage programme,%,Wardha,2018,70.16,0,,
SDG1 - No Poverty,Proportion of Self Help Groups (SHGs) under bank linkage programme,%,Wardha,2019,59.41,0,,
SDG1 - No Poverty,Proportion of Self Help Groups (SHGs) under bank linkage programme,%,Wardha,2020,73.8,0,,
SDG1 - No Poverty,Proportion of Self Help Groups (SHGs) under bank linkage programme,%,Wardha,2021,73.43,0,,
SDG1 - No Poverty,Proportion of Self Help Groups (SHGs) under bank linkage programme,%,Wardha,2022,73.06,0,,
SDG1 - No Poverty,Proportion of Self Help Groups (SHGs) under bank linkage programme,%,Wardha,2023,80.29,0,,
SDG1 - No Poverty,Proportion of Self Help Groups (SHGs) under bank linkage programme,%,Wardha,2024,94.31,0,,
SDG1 - No Poverty,Proportion of Self Help Groups (SHGs) under bank linkage programme,%,Wardha,2025,34.76,0,,
SDG1 - No Poverty,Proportion of Self Help Groups (SHGs) under bank linkage programme,%,Wardha,2029,73.979,1,69.769,78.188
SDG1 - No Poverty,Proportion of Self Help Groups (SHGs) under bank linkage programme,%,Wardha,2037,79.948,1,72.09,87.806
SDG1 - No Poverty,Proportion of Self Help Groups (SHGs) under bank linkage programme,%,Wardha,2047,87.41,1,74.904,99.916
SDG1 - No Poverty,Proportion of Self Help Groups (SHGs) under bank linkage programme,%,Wardha,2060,97.11,1,78.529,115.691
SDG1 - No Poverty,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,%,Wardha,2016,65.55,0,,
SDG1 - No Poverty,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,%,Wardha,2017,44.42,0,,
SDG1 - No Poverty,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,%,Wardha,2018,45.65,0,,
SDG1 - No Poverty,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,%,Wardha,2019,46.01,0,,
SDG1 - No Poverty,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,%,Wardha,2020,48.26,0,,
SDG1 - No Poverty,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,%,Wardha,2021,46.51,0,,
SDG1 - No Poverty,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,%,Wardha,2022,46.81,0,,
SDG1 - No Poverty,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,%,Wardha,2023,49.19,0,,
SDG1 - No Poverty,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,%,Wardha,2024,53.83,0,,
SDG1 - No Poverty,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,%,Wardha,2025,47.102,1,45.574,48.63
SDG1 - No Poverty,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,%,Wardha,2029,45.119,1,42.577,47.66
SDG1 - No Poverty,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,%,Wardha,2037,41.152,1,36.484,45.82
SDG1 - No Poverty,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,%,Wardha,2047,36.194,1,28.83,43.557
SDG1 - No Poverty,Proportion of beneficiaries covered under MJPJAY and AB-PMJAY,%,Wardha,2060,29.748,1,18.866,40.63
SDG1 - No Poverty,Proportion of homeless population to total population,%,Wardha,2016,0.31,0,,
SDG1 - No Poverty,Proportion of population living in households with access to electricity,%,Wardha,2016,96,0,,
SDG1 - No Poverty,Proportion of population living in households with access to electricity,%,Wardha,2020,98.8,0,,
SDG1 - No Poverty,Proportion of population living in households with access to electricity,%,Wardha,2025,98.8,1,88.92,100
SDG1 - No Poverty,Proportion of population living in households with access to electricity,%,Wardha,2029,98.8,1,88.92,100
SDG1 - No Poverty,Proportion of population living in households with access to electricity,%,Wardha,2037,98.8,1,88.92,100
SDG1 - No Poverty,Proportion of population living in households with access to electricity,%,Wardha,2047,98.8,1,88.92,100
SDG1 - No Poverty,Proportion of population living in households with access to electricity,%,Wardha,2060,98.8,1,88.92,100
SDG1 - No Poverty,SHGs with Bank Credit Linkage,Number,Arvi,2024,1878,0,,
SDG1 - No Poverty,Sanjay Gandhi Niradhar Beneficiaries,Number,Arvi,2024,4000,0,,
SDG1 - No Poverty,Shravan Bal Seva Pension Beneficiaries,Number,Arvi,2024,12218,0,,
SDG1 - No Poverty,Social protection benefits - Janani Suraksha Yojana (JSY),%,Wardha,2018,56.77,0,,
SDG1 - No Poverty,Social protection benefits - Janani Suraksha Yojana (JSY),%,Wardha,2019,64.86,0,,
SDG1 - No Poverty,Social protection benefits - Janani Suraksha Yojana (JSY),%,Wardha,2020,69.29,0,,
SDG1 - No Poverty,Social protection benefits - Janani Suraksha Yojana (JSY),%,Wardha,2021,57.25,0,,
SDG1 - No Poverty,Social protection benefits - Janani Suraksha Yojana (JSY),%,Wardha,2022,70.87,0,,
SDG1 - No Poverty,Social protection benefits - Janani Suraksha Yojana (JSY),%,Wardha,2023,88.03,0,,
SDG1 - No Poverty,Social protection benefits - Janani Suraksha Yojana (JSY),%,Wardha,2024,82.7,0,,
SDG1 - No Poverty,Social protection benefits - Janani Suraksha Yojana (JSY),%,Wardha,2025,84.7,1,64.499,100
SDG1 - No Poverty,Social protection benefits - Janani Suraksha Yojana (JSY),%,Wardha,2029,92.742,1,72.541,100
SDG1 - No Poverty,Social protection benefits - Janani Suraksha Yojana (JSY),%,Wardha,2037,98.553,1,78.351,100
SDG1 - No Poverty,Social protection benefits - Janani Suraksha Yojana (JSY),%,Wardha,2047,99.819,1,79.618,100
SDG1 - No Poverty,Social protection benefits - Janani Suraksha Yojana (JSY),%,Wardha,2060,99.988,1,79.787,100
SDG1 - No Poverty,Social protection benefits - Pradhan Mantri Matrutva Vandana Yojana (PMMVY),%,Wardha,2018,99.82,0,,
SDG1 - No Poverty,Social protection benefits - Pradhan Mantri Matrutva Vandana Yojana (PMMVY),%,Wardha,2019,99.97,0,,
SDG1 - No Poverty,Social protection benefits - Pradhan Mantri Matrutva Vandana Yojana (PMMVY),%,Wardha,2020,99.96,0,,
SDG1 - No Poverty,Social protection benefits - Pradhan Mantri Matrutva Vandana Yojana (PMMVY),%,Wardha,2021,99.73,0,,
SDG1 - No Poverty,Social protection benefits - Pradhan Mantri Matrutva Vandana Yojana (PMMVY),%,Wardha,2022,99.88,0,,
SDG1 - No Poverty,Social protection benefits - Pradhan Mantri Matrutva Vandana Yojana (PMMVY),%,Wardha,2023,99.36,0,,
SDG1 - No Poverty,Social protection benefits - Pradhan Mantri Matrutva Vandana Yojana (PMMVY),%,Wardha,2024,98.75,0,,
SDG1 - No Poverty,Social protection benefits - Pradhan Mantri Matrutva Vandana Yojana (PMMVY),%,Wardha,2025,98.994,1,98.871,99.118
SDG1 - No Poverty,Social protection benefits - Pradhan Mantri Matrutva Vandana Yojana (PMMVY),%,Wardha,2029,98.35,1,98.122,98.578
SDG1 - No Poverty,Social protection benefits - Pradhan Mantri Matrutva Vandana Yojana (PMMVY),%,Wardha,2037,97.061,1,96.616,97.507
SDG1 - No Poverty,Social protection benefits - Pradhan Mantri Matrutva Vandana Yojana (PMMVY),%,Wardha,2047,95.451,1,94.73,96.172
SDG1 - No Poverty,Social protection benefits - Pradhan Mantri Matrutva Vandana Yojana (PMMVY),%,Wardha,2060,93.357,1,92.277,94.436
SDG1 - No Poverty,Total Ration Cards (lakh),Lakh,Arvi,2024,0.406,0,,
SDG1 - No Poverty,Total Ration Cards (lakh),Lakh,Wardha,2024,0.747,0,,
SDG1 - No Poverty,Total SHGs Formed,Number,Arvi,2024,2314,0,,
"SDG16 - Peace, Justice & Strong Institutions",% of RTI queries responded,%,Wardha,2015,75.62,0,,
"SDG16 - Peace, Justice & Strong Institutions",% of RTI queries responded,%,Wardha,2016,98.21,0,,
"SDG16 - Peace, Justice & Strong Institutions",% of RTI queries responded,%,Wardha,2017,64.5,0,,
"SDG16 - Peace, Justice & Strong Institutions",% of RTI queries responded,%,Wardha,2018,81.69,0,,
"SDG16 - Peace, Justice & Strong Institutions",% of RTI queries responded,%,Wardha,2019,99.39,0,,
"SDG16 - Peace, Justice & Strong Institutions",% of RTI queries responded,%,Wardha,2020,99.91,0,,
"SDG16 - Peace, Justice & Strong Institutions",% of RTI queries responded,%,Wardha,2021,99.6,0,,
"SDG16 - Peace, Justice & Strong Institutions",% of RTI queries responded,%,Wardha,2022,98.99,0,,
"SDG16 - Peace, Justice & Strong Institutions",% of RTI queries responded,%,Wardha,2023,99.57,0,,
"SDG16 - Peace, Justice & Strong Institutions",% of RTI queries responded,%,Wardha,2025,99.57,1,89.613,100
"SDG16 - Peace, Justice & Strong Institutions",% of RTI queries responded,%,Wardha,2029,99.57,1,89.613,100
"SDG16 - Peace, Justice & Strong Institutions",% of RTI queries responded,%,Wardha,2037,99.57,1,89.613,100
"SDG16 - Peace, Justice & Strong Institutions",% of RTI queries responded,%,Wardha,2047,99.57,1,89.613,100
"SDG16 - Peace, Justice & Strong Institutions",% of RTI queries responded,%,Wardha,2060,99.57,1,89.613,100
"SDG16 - Peace, Justice & Strong Institutions",% of births registered,%,Wardha,2015,84.92,0,,
"SDG16 - Peace, Justice & Strong Institutions",% of births registered,%,Wardha,2016,93.84,0,,
"SDG16 - Peace, Justice & Strong Institutions",% of births registered,%,Wardha,2017,91.45,0,,
"SDG16 - Peace, Justice & Strong Institutions",% of births registered,%,Wardha,2018,78.31,0,,
"SDG16 - Peace, Justice & Strong Institutions",% of births registered,%,Wardha,2019,86.31,0,,
"SDG16 - Peace, Justice & Strong Institutions",% of births registered,%,Wardha,2020,79.16,0,,
"SDG16 - Peace, Justice & Strong Institutions",% of births registered,%,Wardha,2021,83.92,0,,
"SDG16 - Peace, Justice & Strong Institutions",% of births registered,%,Wardha,2022,78.94,0,,
"SDG16 - Peace, Justice & Strong Institutions",% of births registered,%,Wardha,2025,75.295,1,73.282,77.308
"SDG16 - Peace, Justice & Strong Institutions",% of births registered,%,Wardha,2029,69.565,1,66.426,72.704
"SDG16 - Peace, Justice & Strong Institutions",% of births registered,%,Wardha,2037,58.105,1,52.66,63.55
"SDG16 - Peace, Justice & Strong Institutions",% of births registered,%,Wardha,2047,43.78,1,35.429,52.131
"SDG16 - Peace, Justice & Strong Institutions",% of births registered,%,Wardha,2060,25.157,1,13.018,37.297
"SDG16 - Peace, Justice & Strong Institutions",Land Revenue Actual Collection (₹ thousand),,Wardha,2024,104119,0,,
"SDG16 - Peace, Justice & Strong Institutions",No. of Government services provided online to citizens,Number,Wardha,2018,406,0,,
"SDG16 - Peace, Justice & Strong Institutions",No. of Government services provided online to citizens,Number,Wardha,2019,406,0,,
"SDG16 - Peace, Justice & Strong Institutions",No. of Government services provided online to citizens,Number,Wardha,2020,403,0,,
"SDG16 - Peace, Justice & Strong Institutions",No. of Government services provided online to citizens,Number,Wardha,2021,409,0,,
"SDG16 - Peace, Justice & Strong Institutions",No. of Government services provided online to citizens,Number,Wardha,2022,387,0,,
"SDG16 - Peace, Justice & Strong Institutions",No. of Government services provided online to citizens,Number,Wardha,2023,410,0,,
"SDG16 - Peace, Justice & Strong Institutions",No. of Government services provided online to citizens,Number,Wardha,2024,426,0,,
"SDG16 - Peace, Justice & Strong Institutions",No. of Government services provided online to citizens,Number,Wardha,2025,1034,0,,
"SDG16 - Peace, Justice & Strong Institutions",No. of Government services provided online to citizens,Number,Wardha,2029,886.464,1,798.023,974.905
"SDG16 - Peace, Justice & Strong Institutions",No. of Government services provided online to citizens,Number,Wardha,2037,1314.56,1,1137.858,1491.261
"SDG16 - Peace, Justice & Strong Institutions",No. of Government services provided online to citizens,Number,Wardha,2047,1849.679,1,1560.942,2138.415
"SDG16 - Peace, Justice & Strong Institutions",No. of Government services provided online to citizens,Number,Wardha,2060,2545.333,1,2110.379,2980.288
"SDG16 - Peace, Justice & Strong Institutions",No. of Judges (all levels) per lakh population,Per lakh population,Wardha,2016,2.57,0,,
"SDG16 - Peace, Justice & Strong Institutions",No. of Judges (all levels) per lakh population,Per lakh population,Wardha,2017,2.77,0,,
"SDG16 - Peace, Justice & Strong Institutions",No. of Judges (all levels) per lakh population,Per lakh population,Wardha,2018,2.97,0,,
"SDG16 - Peace, Justice & Strong Institutions",No. of Judges (all levels) per lakh population,Per lakh population,Wardha,2019,3.01,0,,
"SDG16 - Peace, Justice & Strong Institutions",No. of Judges (all levels) per lakh population,Per lakh population,Wardha,2020,2.99,0,,
"SDG16 - Peace, Justice & Strong Institutions",No. of Judges (all levels) per lakh population,Per lakh population,Wardha,2021,2.83,0,,
"SDG16 - Peace, Justice & Strong Institutions",No. of Judges (all levels) per lakh population,Per lakh population,Wardha,2022,2.88,0,,
"SDG16 - Peace, Justice & Strong Institutions",No. of Judges (all levels) per lakh population,Per lakh population,Wardha,2023,2.79,0,,
"SDG16 - Peace, Justice & Strong Institutions",No. of Judges (all levels) per lakh population,Per lakh population,Wardha,2024,2.98,0,,
"SDG16 - Peace, Justice & Strong Institutions",No. of Judges (all levels) per lakh population,Per lakh population,Wardha,2025,2.977,1,2.947,3.008
"SDG16 - Peace, Justice & Strong Institutions",No. of Judges (all levels) per lakh population,Per lakh population,Wardha,2029,3.067,1,3.015,3.118
"SDG16 - Peace, Justice & Strong Institutions",No. of Judges (all levels) per lakh population,Per lakh population,Wardha,2037,3.245,1,3.151,3.339
"SDG16 - Peace, Justice & Strong Institutions",No. of Judges (all levels) per lakh population,Per lakh population,Wardha,2047,3.469,1,3.321,3.617
"SDG16 - Peace, Justice & Strong Institutions",No. of Judges (all levels) per lakh population,Per lakh population,Wardha,2060,3.759,1,3.54,3.978
