SDG Goal,SDG Goal Name,Indicator Code,Metric Name,Geography,Level,Year,Value,Unit,Source,Projected?
1,No Poverty,SDG1.1.3.6,Beneficiaries - Indira Gandhi National Old Age Pension,Wardha,District,2021,"30,579.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Indira Gandhi National Old Age Pension,Wardha,District,2022,"30,452.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Indira Gandhi National Old Age Pension,Wardha,District,2023,"26,690.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Indira Gandhi National Old Age Pension,Wardha,District,2024,"30,508.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Indira Gandhi National Widow Pension,Wardha,District,2016,574,Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Indira Gandhi National Widow Pension,Wardha,District,2017,709,Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Indira Gandhi National Widow Pension,Wardha,District,2018,796,Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Indira Gandhi National Widow Pension,Wardha,District,2019,830,Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Indira Gandhi National Widow Pension,Wardha,District,2020,920,Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Indira Gandhi National Widow Pension,Wardha,District,2021,"1,081.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Indira Gandhi National Widow Pension,Wardha,District,2022,977,Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Indira Gandhi National Widow Pension,Wardha,District,2023,"1,013.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Indira Gandhi National Widow Pension,Wardha,District,2024,"1,144.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Wardha,District,2016,"18,835.00",Number,MahaSDB,no
